Iteration, PSO,ECPPSO,ECPPSO_GA
277,69.3061,69.1633,93.8163
278,68.7551,70.6531,93.6735
279,69.3878,69.1633,93.551
280,68.9388,69.5306,93.6327
281,69.6327,68.6531,93.8572
282,68.9388,69.9184,93.6123
283,69.2449,69.5102,93.6327
284,69.3469,69.1837,93.7755
285,68.7551,67.8571,93.8367
286,69.1225,68.0816,93.9184
287,69.0612,69.3674,93.6327
288,69.3469,71.1837,93.7347
289,69.6122,69.8367,93.5918
290,69.2041,69.5102,93.7551
291,69.8163,71.6327,93.6735
292,69.5102,70.2857,93.8163
293,69.1225,69.7959,93.9184
294,69.2245,69.3674,93.8572
295,68.9592,68.5918,93.9388
296,68.7143,69.3061,93.8163
297,68.6939,69.9184,93.8163
298,68.9796,69.2653,93.6735
299,68.8776,69.6531,93.9388
300,69,70.3469,93.8163
301,68.9592,71.0612,93.7143
302,68.8163,69.4082,93.7347
303,68.9796,69.102,94.1633
304,68.9388,69.0408,93.9184
305,68.8367,69.5306,94.0204
306,68.6735,71.4898,93.9796
307,68.9796,70.0408,93.7143
308,69.4694,69.3061,93.9592
309,69.1837,70.1633,94.0408
310,69.2041,70.1837,93.7755
311,69.0408,71.102,93.898
312,69.0816,70.6122,93.8367
313,69.4082,70.4898,94
314,69.3674,69.3469,94.0408
315,69.1633,69.7755,93.9388
316,69.2041,71.4694,93.8776
317,69.4694,70.6531,93.9592
318,69.4694,69.9592,93.9592
319,69.5918,71.449,94.1429
320,69.7959,71.449,94.2653
321,69.9796,70.0204,94.2245
322,69.3674,69.7143,94.1633
323,69.7143,70.6122,94.0612
324,69.4082,71.0204,94.2857
325,69.2041,70.8367,94.2653
326,69.4286,69.898,94.3674
327,69.6122,71.2245,94.2449
328,69.3265,71.5102,94.1837
329,68.7143,71.4694,94.3469
330,69.0408,70.2449,94.3469
331,69.2653,69.551,94.3674
332,69.5306,69.4898,94.3265
333,69.2653,70,94.2857
334,69.3061,70.0204,94.1633
335,69.4898,69.898,94.4082
336,69.4286,69.3878,94.2041
337,69.6327,69.3061,94.2857
338,69.3265,69.1633,94.2041
339,69.5306,70.8572,94.2245
340,69.4898,71,94.3469
341,69.9184,73.2041,94.1633
342,69.6735,71.5306,94.4694
343,69.3674,70.9592,94.1633
344,69.9592,72.1633,94.3469
345,69.3265,71.6531,94.4694
346,69.7143,70.898,94.1633
347,69.3265,70.5306,94.2857
348,68.9592,70.5714,94.4898
349,68.7959,71.1837,94.3061
350,69.3061,70.2041,94.1633
351,69.3061,71.102,94.3061
352,69.4694,69.8163,94.3265
353,69.4898,71.3061,94.2449
354,69.5918,71.9388,94.449
355,69.5306,70.5714,94.0204
356,69.1837,70.3265,94.3265
357,69.7755,71.1429,94.551
358,69.5102,69.6939,94.0816
359,68.9592,69.6327,94.3674
360,69.3674,69.7959,94.1837
361,69.1633,68.2245,94.3674
362,69.3469,68.3469,94.2245
363,69.7551,69.449,94.2857
364,68.7755,69.102,94.5306
365,69.449,69.6327,94.551
366,69.102,68.7755,94.5306
367,69.2653,71.1225,94.3878
368,69.6327,69.9592,94.551
369,69.551,70.4694,94.3265
370,69.0408,71.9184,94.3878
371,69.4286,70.8572,94.4694
372,69.2857,69.6122,94.6735
373,69.3265,69.9796,94.3878
374,69,71.7143,94.5306
375,68.9796,72.0204,94.3878
376,69.3265,71.1429,94.3061
377,69.4082,70.8367,94.4898
378,69.8776,70.2449,94.6735
379,69.3265,71,94.6735
380,69.4082,71,94.3469
381,69.6939,71.5306,94.551
382,69.551,71.2449,94.5102
383,69.9388,71.5918,94.6531
384,69.6735,71.2449,94.6735
385,69.2245,71.1429,94.6531
386,69.6939,69.4898,94.8163
387,69.898,69.2041,94.8776
388,69.5918,69.551,94.6531
389,69.7347,70.449,94.6122
390,69.6735,69.551,94.8572
391,69.5306,69,94.6122
392,68.9796,69.6735,94.8163
393,68.7959,70.102,94.6531
394,69.449,70.7347,94.6939
395,69.3674,70.6939,94.7347
396,69.1429,71.1225,94.7347
397,69.0612,69.8367,94.7959
398,69.0408,68.2041,94.898
399,69.1633,69.6122,94.8776
400,69.3061,71.2449,94.7551
401,69.3878,69.6531,94.8367
402,69.5306,70.7347,94.9592
403,69.2449,69.5918,94.8367
404,68.9388,70.6735,94.7959
405,68.898,70.2041,94.7959
406,68.8367,69.1225,94.7755
407,69.4082,70.0204,94.6939
408,69.1429,71.2449,94.7347
409,69.551,69.7755,94.898
410,69.1633,70.3674,94.8367
411,68.9388,69.9796,94.6327
412,68.8163,69.9388,94.7551
413,68.7143,70.3469,94.8163
414,70.102,70.5102,94.7959
415,69.7347,71.2041,94.9796
416,69.2857,70.0612,94.898
417,69.4286,70.8776,94.6735
418,69.4286,71.0612,94.8163
419,69,70.5918,94.8367
420,68.8367,71.6735,94.8572
421,68.898,70.7755,94.9592
422,69.2245,71.1429,94.8776
423,69.6531,70.1633,94.9388
424,69.0816,70.8367,95.0408
425,69.551,70.7551,94.7755
426,69.2245,70.9796,95.1429
427,69.5918,71.5102,94.9388
428,69.551,72.3061,94.7959
429,69.4898,70.3061,94.7143
430,69.8776,68.9184,94.8572
431,69.7143,69.9184,94.9184
432,69.5918,71.6122,95.0204
433,69.3674,71.1225,95
434,69.1429,70.898,94.9796
435,69.0612,70.8367,94.8163
436,68.9184,69.5918,94.6735
437,68.898,70.3265,94.9388
438,68.7347,69.102,94.7959
439,69.102,69.3674,94.898
440,69.6531,70.2857,94.9388
441,69.3265,72.1633,94.898
442,69.6327,70.2041,94.7551
443,69.6122,71.8776,95.0408
444,69.1225,70.5714,95.0408
445,69.6122,69.5306,95.0408
446,69.3674,68.6735,95.1225
447,69.0612,68.898,95.102
448,69.5102,69.6735,95.0612
449,69.6327,66.4694,94.9592
450,69.3674,66.7347,95.0816
451,69.6531,67.5306,95.102
452,69.0612,68.5714,95.2041
453,69.5714,67.7347,94.8776
454,69.0204,69.2857,95.1225
455,69.6327,69.102,94.9592
456,69.3469,68.7143,94.9796
457,69.7143,69.2449,94.9592
458,69.3878,68.9796,94.8572
459,69.6735,69.5714,94.898
460,69.5714,70.0612,95
461,69.5714,70.1225,94.9184
462,69.1429,71,95.0816
463,69.2449,69.8572,94.9184
464,69.102,69.0612,94.9388
465,69.3878,71.4694,94.8367
466,69.4694,70.9796,95.102
467,69.4082,70.898,94.9388
468,69.5306,69.551,94.9184
469,69.3469,70.6531,94.898
470,69.5714,70.9388,95.0816
471,69.4694,71.9796,95
472,68.9796,70.7959,94.5918
473,69.3878,70.7959,94.6531
474,69.3878,69.8572,94.9388
475,69.0204,71.3061,94.6327
476,69.5306,70.4286,94.9796
477,68.8572,70.5306,94.9592
478,69.0408,70.2245,94.898
479,69.2041,70.449,95.102
480,69.5918,72.6735,94.8572
