Iteration,ECPPSO,ECPPSO_GA,ECPPSO_SE_GA,ECPPSO_NEP_GA
371,84.6800,99.4800,99.7600,99.6800
372,84.6800,99.5200,99.7600,99.6800
373,84.6800,99.5200,99.7600,99.6800
374,84.6800,99.5200,99.7600,99.6800
375,84.6800,99.5200,99.7600,99.6800
376,84.6800,99.5200,99.8000,99.6800
377,84.6800,99.5200,99.8000,99.6800
378,84.6800,99.5200,99.8000,99.6800
379,84.6800,99.5200,99.8000,99.6800
380,84.6800,99.5200,99.8400,99.6800
381,84.6800,99.5200,99.8400,99.6800
382,84.6800,99.5200,99.8400,99.6800
383,84.6800,99.5200,99.8800,99.6800
384,84.6800,99.5200,99.8800,99.6800
385,84.6800,99.5200,99.8800,99.6800
386,84.6800,99.5600,99.8800,99.6800
387,84.6800,99.5600,99.8800,99.6800
388,84.6800,99.5600,99.8800,99.6800
389,84.6800,99.5600,99.8800,99.6800
390,84.6800,99.5600,99.8800,99.6800
391,84.6800,99.5600,99.8800,99.6800
392,84.6800,99.5600,99.8800,99.6800
393,84.6800,99.5600,99.8800,99.6800
394,84.6800,99.5600,99.8800,99.6800
395,84.6800,99.5600,99.8800,99.6800
396,84.6800,99.5600,99.8800,99.6800
397,84.6800,99.5600,99.8800,99.6800
398,84.6800,99.5600,99.8800,99.6800
399,84.6800,99.5600,99.8800,99.6800
400,84.6800,99.5600,99.8800,99.6800
401,84.6800,99.6000,99.8800,99.6800
402,84.6800,99.6000,99.8800,99.6800
403,84.6800,99.6000,99.8800,99.6800
404,84.6800,99.6000,99.9200,99.6800
405,84.6800,99.6000,99.9200,99.6800
406,84.6800,99.6000,99.9200,99.6800
407,84.6800,99.6000,99.9200,99.6800
408,84.6800,99.6000,99.9200,99.6800
409,84.6800,99.6000,99.9200,99.6800
410,84.6800,99.6000,99.9200,99.6800
411,84.6800,99.6000,99.9200,99.6800
412,84.6800,99.6000,99.9200,99.6800
413,84.6800,99.6000,99.9200,99.6800
414,84.6800,99.6000,99.9200,99.6800
415,84.6800,99.6000,99.9200,99.6800
416,84.6800,99.6000,99.9200,99.6800
417,84.6800,99.6000,99.9200,99.6800
418,84.6800,99.6000,99.9200,99.6800
419,84.6800,99.6000,99.9200,99.6800
420,84.6800,99.6000,99.9200,99.6800
421,84.6800,99.6000,99.9200,99.6800
422,84.6800,99.6000,99.9200,99.6800
423,84.6800,99.6000,99.9200,99.6800
424,84.6800,99.6000,99.9200,99.6800
425,84.6800,99.6000,99.9200,99.6800
426,84.6800,99.6000,99.9200,99.6800
427,84.6800,99.6000,99.9200,99.6800
428,84.6800,99.6000,99.9200,99.6800
429,84.6800,99.6000,99.9200,99.6800
430,84.6800,99.6000,99.9200,99.6800
431,84.6800,99.6000,99.9200,99.6800
432,84.6800,99.6000,99.9200,99.6800
433,84.6800,99.6000,99.9200,99.6800
434,84.6800,99.6000,99.9200,99.6800
435,84.6800,99.6000,99.9200,99.6800
436,84.6800,99.6000,99.9200,99.6800
437,84.6800,99.6000,99.9200,99.6800
438,84.6800,99.6000,99.9200,99.6800
439,84.6800,99.6000,99.9200,99.6800
440,84.6800,99.6000,99.9200,99.6800
441,84.6800,99.6000,99.9200,99.6800
442,84.6800,99.6000,99.9200,99.6800
443,84.6800,99.6000,99.9200,99.6800
444,84.6800,99.6000,99.9200,99.6800
445,84.6800,99.6000,99.9200,99.6800
446,84.6800,99.6000,99.9200,99.6800
447,84.6800,99.6000,99.9200,99.6800
448,84.6800,99.6000,99.9200,99.6800
449,84.6800,99.6000,99.9200,99.6800
450,84.6800,99.6000,99.9200,99.6800
451,84.6800,99.6000,99.9200,99.6800
452,84.6800,99.6000,99.9200,99.6800
453,84.6800,99.6000,99.9200,99.6800
454,84.6800,99.6000,99.9200,99.6800
455,84.6800,99.6000,99.9200,99.6800
456,84.6800,99.6000,99.9200,99.6800
457,84.6800,99.6000,99.9200,99.6800
458,84.6800,99.6000,99.9200,99.6800
459,84.6800,99.6000,99.9200,99.6800
460,84.6800,99.6000,99.9200,99.6800
461,84.6800,99.6000,99.9200,99.6800
462,84.6800,99.6000,99.9200,99.6800
463,84.6800,99.6000,99.9200,99.6800
464,84.6800,99.6000,99.9200,99.6800
465,84.6800,99.6000,99.9200,99.6800
466,84.6800,99.6000,99.9200,99.6800
467,84.6800,99.6000,99.9200,99.6800
468,84.6800,99.6000,99.9200,99.6800
469,84.6800,99.6400,99.9200,99.6800
470,84.6800,99.6400,99.9200,99.6800
471,84.6800,99.6400,99.9200,99.6800
472,84.6800,99.6400,99.9200,99.6800
473,84.6800,99.6400,99.9200,99.6800
474,84.6800,99.6400,99.9200,99.6800
475,84.6800,99.6400,99.9200,99.6800
476,84.6800,99.6400,99.9200,99.6800
477,84.6800,99.6400,99.9200,99.6800
478,84.6800,99.6400,99.9200,99.6800
479,84.6800,99.6400,99.9200,99.6800
480,84.6800,99.6400,99.9200,99.6800
481,84.6800,99.6400,99.9200,99.6800
482,84.6800,99.6400,99.9200,99.6800
483,84.6800,99.6800,99.9200,99.6800
484,84.6800,99.6800,99.9200,99.6800
485,84.6800,99.6800,99.9200,99.6800
486,84.6800,99.6800,99.9200,99.6800
487,84.6800,99.6800,99.9200,99.6800
488,84.6800,99.6800,99.9200,99.6800
489,84.6800,99.6800,99.9200,99.6800
490,84.6800,99.6800,99.9200,99.6800
491,84.6800,99.6800,99.9200,99.6800
492,84.6800,99.6800,99.9200,99.6800
493,84.6800,99.6800,99.9200,99.6800
494,84.6800,99.6800,99.9200,99.6800
495,84.6800,99.6800,99.9200,99.6800
496,84.6800,99.7200,99.9200,99.6800
497,84.6800,99.7200,99.9200,99.6800
498,84.6800,99.7200,99.9200,99.6800
499,84.6800,99.7200,99.9200,99.6800
500,84.6800,99.7200,99.9200,99.6800
